Andrii_trial_6
Date:,2020/08/03
Time:,15:46:59
Type:,muscu_imu
Description:,""
Notes:,"Trial1_Flexion"

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
2056,396.994324,590.258728,344.462677,379.650879,431.636169,318.900085,431.947266,282.044830,425.281036
2057,397.405518,589.078796,344.462494,381.402954,432.945648,322.640045,436.201935,288.103882,434.326324
2058,397.412964,587.820557,344.603424,383.292755,434.355499,326.075928,440.258942,294.611511,443.379761
2059,397.689545,586.722351,344.761993,385.047394,435.971680,329.033142,444.232483,301.262390,451.421570
2060,397.924103,585.564758,345.130737,386.564026,437.417725,331.998840,448.083618,308.038025,458.818665
2061,398.137726,584.513489,345.434784,388.206238,438.964783,334.505890,452.030914,314.887482,465.794861
2062,398.452118,583.299927,345.733490,389.768219,440.378601,337.162811,455.670197,321.323730,472.099670
2063,398.582794,582.328125,346.255920,391.325531,442.124512,339.131256,458.653839,327.673340,477.521515
2064,398.959961,581.349365,346.724182,392.917755,443.591156,341.097595,461.885986,333.499725,482.417053
2065,399.121002,580.418945,346.837646,394.324341,444.956421,342.648071,464.815247,339.183167,486.620850
2066,399.323578,579.605713,347.000641,395.418274,446.265411,344.151581,467.733307,343.780090,489.947083
2067,399.347565,579.109863,347.257935,396.400635,447.213013,345.228333,470.325073,348.178192,492.707794
2068,399.327911,578.763367,347.459503,397.713470,448.010406,345.893829,472.655243,351.471222,494.807892
2069,399.327484,578.546021,347.626282,398.320343,448.337952,346.230164,474.576721,354.030609,496.241272
2070,399.392059,578.551331,347.606323,399.051331,448.647797,346.713135,476.114532,355.825470,497.280701
2071,399.478088,578.659546,347.592407,399.700653,448.832703,346.721497,477.118500,356.723480,497.760254
2072,399.612732,578.871277,347.431793,399.794952,448.905670,346.798767,477.862885,356.773315,497.729919
2073,399.731140,579.157288,347.285828,399.914703,448.680969,346.542206,478.089935,356.216248,497.168365
2074,399.816528,579.452393,347.070313,399.899506,448.483063,346.183655,477.627411,354.758453,495.952911
2075,399.920197,579.758911,346.864532,399.465637,448.021118,345.578339,477.184143,352.438538,494.310333
2076,399.802490,580.377136,346.884888,399.026062,447.136841,344.632263,476.146545,349.585297,492.622711
2077,399.774933,580.977051,346.596069,398.620361,446.541229,343.633453,474.732880,345.906372,489.709869
2078,399.571228,581.475403,346.539581,398.301605,445.501678,342.179871,473.104980,341.868835,486.375275
2079,399.636841,582.390442,346.433258,397.282074,444.513794,340.959625,470.755157,337.111176,483.018799
2080,399.684204,582.983521,346.417511,396.354797,443.155487,339.759674,468.622437,331.824036,478.998077
2081,399.515472,584.112488,346.123383,395.617676,441.734894,337.818207,465.857697,326.284790,474.625183
2082,399.272125,584.996704,346.170502,394.205719,440.295685,335.835724,462.899628,320.379639,469.362610
2083,399.263550,585.929321,346.029694,393.518433,438.645477,333.716644,459.298309,314.292419,463.415619
2084,399.288177,586.748291,345.876831,392.153656,437.130676,331.636749,456.141571,307.708618,457.596893
2085,399.178955,587.830627,345.644531,391.062012,435.489441,329.203613,452.413086,301.276398,451.009857
2086,399.166626,588.754211,345.639465,389.416534,433.863098,327.084900,448.813049,294.867828,444.241150
2087,399.248047,589.711548,345.284241,388.214142,432.173981,324.278992,444.939819,288.243347,436.828644
2088,399.283691,590.730835,344.934357,386.881958,430.597565,321.480042,441.041077,282.212280,428.687988
2089,399.188202,591.466492,344.911530,385.514740,429.350128,318.525055,436.860779,275.887970,420.628418
2090,399.219879,592.390503,344.876984,384.644226,428.208252,315.367920,432.489166,270.355499,412.351288
2091,399.273804,593.085571,344.602722,383.147583,426.905945,312.546539,428.147675,265.297455,403.360504
2092,399.256500,593.597778,344.375824,382.174683,425.500427,309.636749,423.629608,260.636536,394.836670
2093,399.239014,594.242310,344.169220,381.103363,424.265594,306.448517,419.480438,256.751923,386.316864
2094,399.327087,594.826111,343.635925,380.124512,423.323151,303.194122,415.273590,253.511429,378.172150
2095,399.406189,595.433899,343.350098,379.190063,422.203583,300.059479,411.426483,250.240845,370.209900
2096,399.380615,596.110229,343.172882,378.320770,421.389923,296.601563,408.216675,247.638748,361.966980
2097,399.500854,596.778442,342.982452,377.512482,420.381805,293.258820,405.539459,244.293152,353.042358
2098,399.494781,597.337585,342.857483,376.619965,419.342896,289.972748,402.856262,241.119629,343.759338
2099,399.476501,598.127075,342.473297,375.766388,418.389832,286.395325,400.156921,238.024597,334.182678
2100,399.519470,598.805298,341.879761,375.057648,417.371857,282.508026,397.792938,235.000580,323.819336
2101,399.395081,599.765808,341.595032,373.864044,416.280243,278.422821,395.393616,232.507095,312.994202
2102,399.290436,600.452820,341.416565,372.637604,415.473358,273.988373,392.900787,230.195190,302.260864
2103,399.330872,601.139954,341.245392,371.383362,414.703461,269.368439,390.499207,228.358688,291.412872
2104,399.482147,601.481079,341.203583,370.445099,414.268738,264.659088,388.394226,227.242706,280.341309
2105,399.396698,601.884216,341.416168,369.554565,413.890411,260.199066,386.082764,226.458160,269.134796
2106,399.368011,602.002075,341.350189,368.890930,414.022186,255.777924,383.903595,225.797867,258.359039
2107,399.286316,601.977661,341.294128,368.526306,414.122498,251.292435,381.892273,226.020493,247.451843
2108,399.212646,602.027527,341.042419,368.146149,414.525726,247.133087,380.119324,226.647293,236.822647
