Marta_trial 2
Date:,2020/07/29
Time:,17:14:48
Type:,muscu_imu
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
231,457.782867,-40.228596,441.153198,459.809296,-252.080215,527.433105,481.112000,-375.643616,577.287292
232,451.791077,-37.533779,439.143097,447.301025,-247.834671,526.120972,464.060516,-371.162201,578.673645
233,445.577362,-34.620506,436.831299,434.800812,-242.672180,523.691833,446.959564,-365.719727,578.436523
234,438.807861,-31.538153,434.621429,422.353851,-237.237930,520.235962,430.423584,-359.637848,576.953186
235,432.369781,-27.580164,431.829773,410.069244,-230.965302,515.477844,413.888153,-352.909088,573.915222
236,425.649414,-23.518759,429.145447,397.531067,-224.341568,509.540558,397.528687,-345.602142,569.333008
237,419.072205,-18.750097,425.669861,385.545044,-217.177582,502.701813,381.673004,-337.542877,563.348694
238,413.501160,-13.480419,421.521057,373.539642,-209.222260,494.312500,365.741302,-329.160706,555.614258
239,407.660126,-7.993434,416.713318,361.817932,-200.755219,485.097748,350.289795,-320.583527,546.424683
240,402.166260,-1.868175,411.097565,350.496002,-191.610504,474.403290,335.181854,-311.373352,535.717834
241,396.878632,4.582342,404.805054,339.190277,-182.051590,462.871582,320.054443,-301.917450,523.198181
242,392.136200,12.010513,397.595001,328.430817,-171.499985,450.093719,305.506134,-292.148193,509.257507
243,387.495239,19.863611,389.867340,317.884155,-160.395782,436.439362,291.091431,-281.867310,493.648132
244,383.112671,28.666542,381.372681,307.860504,-148.944260,421.706787,277.240356,-271.117279,476.729584
245,379.211517,38.299488,372.694214,298.400879,-136.808014,406.333588,264.035828,-259.953888,458.062592
246,375.735199,48.710953,363.420532,289.414307,-124.160698,390.158508,251.422134,-248.024414,437.647430
247,372.694855,59.828316,354.311340,280.765930,-110.799057,373.629547,239.194550,-235.861664,416.264160
248,370.291748,72.115402,345.303772,272.810760,-96.938988,356.664459,227.343796,-222.875916,393.197754
249,368.262909,85.098534,336.829010,265.507202,-82.201904,339.356110,216.167282,-209.240829,368.791107
250,367.013702,98.976555,328.966217,258.751190,-67.005493,321.867645,206.175690,-194.474350,342.857513
251,366.259460,112.951096,321.959076,252.776947,-51.330219,304.444092,196.462021,-178.720779,316.224976
252,366.306213,127.575554,316.089661,247.356339,-34.813980,287.089294,188.229034,-161.748306,287.857849
253,367.038177,141.978699,310.952026,242.717422,-17.712532,269.761749,180.938019,-143.142899,259.126953
254,367.833557,156.524185,306.841003,239.216003,-0.087247,252.552841,175.543060,-122.589546,229.396957
255,368.803741,170.616714,304.253326,236.551865,17.971823,236.112381,171.981308,-100.168327,199.696732
256,370.097778,184.377167,302.507599,235.089828,36.916771,220.026840,170.403839,-75.695953,170.299240
257,371.476593,197.698257,302.160034,234.785934,56.607376,204.640366,170.441681,-48.989132,141.887924
258,373.107483,210.145447,302.813599,235.283310,77.125771,189.763184,171.907532,-20.588291,115.124222
259,374.929230,221.789398,303.716614,236.699615,98.753899,175.939255,174.255096,9.296087,90.398262
260,376.692688,232.264297,304.900574,238.974380,120.773308,163.715134,176.982498,40.500641,69.049225
261,378.452393,241.628815,306.170959,242.256424,143.430283,153.108261,180.464310,72.746185,50.347881
262,380.971039,250.429718,307.772339,246.365372,166.339828,144.363419,184.535202,105.509720,35.126438
263,383.400024,258.231354,309.016571,250.990891,189.485901,138.244293,188.310196,138.489044,24.497204
264,386.546448,265.820648,310.661804,255.975616,212.822739,134.028717,192.061249,171.212936,17.132675
265,390.169037,273.498627,312.004089,261.776001,236.507492,131.713211,195.934967,203.421814,12.840878
266,394.636505,281.592102,313.619354,267.251495,260.284454,131.507416,200.125427,235.925613,10.939528
267,400.019623,290.767181,315.698181,273.138702,284.304504,132.806534,204.491241,268.443695,11.614964
268,406.001190,300.540009,318.621063,278.797607,308.466370,135.907135,209.401505,300.806213,14.563511
269,413.472076,310.815399,321.989319,284.418213,332.489410,140.740845,214.016037,332.345581,19.884535
270,421.789612,321.765350,326.203613,289.776520,355.833588,147.343140,218.464127,362.594421,27.011881
271,430.004303,331.759827,331.034180,294.552307,378.117554,155.475327,221.642822,391.058044,36.291439
